m,p,ld
4.689075630252100696e-02,2.000000000000000111e-01,5.637434124946594238e-01
4.764705882352941041e-02,2.000000000000000111e-01,5.672399997711181641e-01
4.840336134453781386e-02,2.000000000000000111e-01,5.705743432044982910e-01
4.915966386554621731e-02,2.000000000000000111e-01,5.734068751335144043e-01
4.991596638655462076e-02,2.000000000000000111e-01,5.763200521469116211e-01
5.067226890756302421e-02,2.000000000000000111e-01,5.795168876647949219e-01
5.142857142857142766e-02,2.000000000000000111e-01,5.858132839202880859e-01
5.218487394957983111e-02,2.000000000000000111e-01,5.885741710662841797e-01
5.294117647058823456e-02,2.000000000000000111e-01,5.914431214332580566e-01
5.369747899159663801e-02,2.000000000000000111e-01,5.941565632820129395e-01
5.445378151260504146e-02,2.000000000000000111e-01,5.965457558631896973e-01
5.521008403361344491e-02,2.000000000000000111e-01,5.989258289337158203e-01
5.596638655462184836e-02,2.000000000000000111e-01,6.011209487915039062e-01
5.672268907563025181e-02,2.000000000000000111e-01,6.032272577285766602e-01
5.747899159663865526e-02,2.000000000000000111e-01,6.050469875335693359e-01
5.823529411764705871e-02,2.000000000000000111e-01,6.067168116569519043e-01
5.899159663865546216e-02,2.000000000000000111e-01,6.084357500076293945e-01
5.974789915966386561e-02,2.000000000000000111e-01,6.099557876586914062e-01
6.050420168067226906e-02,2.000000000000000111e-01,6.111616492271423340e-01
6.126050420168067251e-02,2.000000000000000111e-01,6.120588183403015137e-01
6.201680672268907596e-02,2.000000000000000111e-01,6.131134033203125000e-01
6.277310924369747247e-02,2.000000000000000111e-01,6.138359308242797852e-01
6.352941176470587592e-02,2.000000000000000111e-01,6.144687533378601074e-01
6.428571428571427937e-02,2.000000000000000111e-01,6.149784922599792480e-01
6.504201680672268282e-02,2.000000000000000111e-01,6.154695153236389160e-01
6.579831932773108627e-02,2.000000000000000111e-01,6.158532500267028809e-01
6.655462184873948972e-02,2.000000000000000111e-01,6.161698698997497559e-01
6.731092436974789317e-02,2.000000000000000111e-01,6.165069937705993652e-01
6.806722689075629662e-02,2.000000000000000111e-01,6.167581081390380859e-01
6.882352941176470007e-02,2.000000000000000111e-01,6.168590188026428223e-01
6.957983193277310352e-02,2.000000000000000111e-01,6.169803142547607422e-01
7.033613445378150697e-02,2.000000000000000111e-01,6.170746684074401855e-01
7.109243697478991042e-02,2.000000000000000111e-01,6.171175837516784668e-01
7.184873949579831387e-02,2.000000000000000111e-01,6.166827082633972168e-01
7.260504201680671732e-02,2.000000000000000111e-01,6.163393855094909668e-01
7.336134453781512077e-02,2.000000000000000111e-01,6.160370111465454102e-01
7.411764705882352422e-02,2.000000000000000111e-01,6.158791184425354004e-01
7.487394957983192767e-02,2.000000000000000111e-01,6.158480048179626465e-01
7.563025210084033112e-02,2.000000000000000111e-01,6.159094572067260742e-01
7.638655462184873457e-02,2.000000000000000111e-01,6.162394285202026367e-01
7.714285714285713802e-02,2.000000000000000111e-01,6.166573166847229004e-01
7.789915966386554147e-02,2.000000000000000111e-01,6.172335147857666016e-01
7.865546218487394492e-02,2.000000000000000111e-01,6.179365515708923340e-01
7.941176470588234837e-02,2.000000000000000111e-01,6.185024380683898926e-01
8.016806722689075182e-02,2.000000000000000111e-01,6.214498281478881836e-01
8.092436974789915527e-02,2.000000000000000111e-01,6.225285530090332031e-01
8.168067226890755872e-02,2.000000000000000111e-01,6.240012049674987793e-01
8.243697478991596217e-02,2.000000000000000111e-01,6.255614757537841797e-01
8.319327731092436562e-02,2.000000000000000111e-01,6.272290349006652832e-01
8.394957983193276907e-02,2.000000000000000111e-01,6.292179822921752930e-01
8.470588235294117252e-02,2.000000000000000111e-01,6.310804486274719238e-01
8.546218487394957597e-02,2.000000000000000111e-01,6.330165266990661621e-01
8.621848739495797942e-02,2.000000000000000111e-01,6.350506544113159180e-01
8.697478991596638287e-02,2.000000000000000111e-01,6.371223330497741699e-01
8.773109243697478632e-02,2.000000000000000111e-01,6.394141912460327148e-01
8.848739495798318977e-02,2.000000000000000111e-01,6.419126987457275391e-01
8.924369747899159322e-02,2.000000000000000111e-01,6.442939043045043945e-01
8.999999999999999667e-02,2.000000000000000111e-01,6.468859314918518066e-01
0.000000000000000000e+00,2.025210084033613467e-01,2.636546641588211060e-02
7.563025210084033416e-04,2.025210084033613467e-01,4.179281368851661682e-02
1.512605042016806683e-03,2.025210084033613467e-01,5.710082501173019409e-02
2.268907563025209916e-03,2.025210084033613467e-01,7.199390232563018799e-02
3.025210084033613366e-03,2.025210084033613467e-01,8.645710349082946777e-02
3.781512605042016816e-03,2.025210084033613467e-01,1.009071916341781616e-01
4.537815126050419832e-03,2.025210084033613467e-01,1.144513115286827087e-01
5.294117647058823282e-03,2.025210084033613467e-01,1.273614019155502319e-01
6.050420168067226732e-03,2.025210084033613467e-01,1.399452388286590576e-01
6.806722689075630182e-03,2.025210084033613467e-01,1.521866619586944580e-01
7.563025210084033632e-03,2.025210084033613467e-01,1.643287390470504761e-01
8.319327731092436215e-03,2.025210084033613467e-01,1.765610426664352417e-01
9.075630252100839665e-03,2.025210084033613467e-01,1.889018267393112183e-01
9.831932773109243115e-03,2.025210084033613467e-01,2.011917531490325928e-01
1.058823529411764656e-02,2.025210084033613467e-01,2.133294790983200073e-01
1.134453781512605001e-02,2.025210084033613467e-01,2.254885435104370117e-01
1.210084033613445346e-02,2.025210084033613467e-01,2.374374568462371826e-01
1.285714285714285691e-02,2.025210084033613467e-01,2.496232390403747559e-01
1.361344537815126036e-02,2.025210084033613467e-01,2.619911730289459229e-01
1.436974789915966381e-02,2.025210084033613467e-01,2.743902802467346191e-01
1.512605042016806726e-02,2.025210084033613467e-01,2.859784960746765137e-01
1.588235294117646898e-02,2.025210084033613467e-01,2.982482910156250000e-01
1.663865546218487243e-02,2.025210084033613467e-01,3.104705810546875000e-01
1.739495798319327588e-02,2.025210084033613467e-01,3.225884437561035156e-01
1.815126050420167933e-02,2.025210084033613467e-01,3.344069719314575195e-01
1.890756302521008278e-02,2.025210084033613467e-01,3.456059098243713379e-01
1.966386554621848623e-02,2.025210084033613467e-01,3.564583659172058105e-01
2.042016806722688968e-02,2.025210084033613467e-01,3.671354055404663086e-01
2.117647058823529313e-02,2.025210084033613467e-01,3.772455155849456787e-01
2.193277310924369658e-02,2.025210084033613467e-01,3.869543373584747314e-01
2.268907563025210003e-02,2.025210084033613467e-01,3.959509730339050293e-01
2.344537815126050348e-02,2.025210084033613467e-01,4.041499197483062744e-01
2.420168067226890693e-02,2.025210084033613467e-01,4.124593734741210938e-01
2.495798319327731038e-02,2.025210084033613467e-01,4.202907979488372803e-01
2.571428571428571383e-02,2.025210084033613467e-01,4.275446236133575439e-01
2.647058823529411728e-02,2.025210084033613467e-01,4.351611733436584473e-01
2.722689075630252073e-02,2.025210084033613467e-01,4.425776302814483643e-01
2.798319327731092418e-02,2.025210084033613467e-01,4.493490159511566162e-01
2.873949579831932763e-02,2.025210084033613467e-01,4.561668336391448975e-01
2.949579831932773108e-02,2.025210084033613467e-01,4.627868235111236572e-01
3.025210084033613453e-02,2.025210084033613467e-01,4.688989520072937012e-01
3.100840336134453798e-02,2.025210084033613467e-01,4.749334156513214111e-01
3.176470588235293796e-02,2.025210084033613467e-01,4.829361438751220703e-01
3.252100840336134141e-02,2.025210084033613467e-01,4.889161884784698486e-01
3.327731092436974486e-02,2.025210084033613467e-01,4.944998025894165039e-01
3.403361344537814831e-02,2.025210084033613467e-01,4.998858869075775146e-01
3.478991596638655176e-02,2.025210084033613467e-01,5.049025416374206543e-01
3.554621848739495521e-02,2.025210084033613467e-01,5.096268653869628906e-01
3.630252100840335866e-02,2.025210084033613467e-01,5.141548514366149902e-01
3.705882352941176211e-02,2.025210084033613467e-01,5.184087157249450684e-01
3.781512605042016556e-02,2.025210084033613467e-01,5.226405858993530273e-01
3.857142857142856901e-02,2.025210084033613467e-01,5.268290042877197266e-01
3.932773109243697246e-02,2.025210084033613467e-01,5.309351086616516113e-01
4.008403361344537591e-02,2.025210084033613467e-01,5.349879860877990723e-01
4.084033613445377936e-02,2.025210084033613467e-01,5.383734107017517090e-01
4.159663865546218281e-02,2.025210084033613467e-01,5.417975783348083496e-01
4.235294117647058626e-02,2.025210084033613467e-01,5.452333688735961914e-01
4.310924369747898971e-02,2.025210084033613467e-01,5.487236976623535156e-01
4.386554621848739316e-02,2.025210084033613467e-01,5.521268844604492188e-01
