"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
30, 6.245857933956273e-02, 9.882652649062924e-02, 9.861457668309604e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.385949975449359e+00
31, 6.652333306143685e-02, 1.017355883787449e-01, 9.800014079782813e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.336428589720493e+00
32, 7.063430526248866e-02, 1.045789742277269e-01, 9.720059861393671e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.273988436776137e+00
33, 7.479114930460710e-02, 1.073548579706173e-01, 9.653100260716422e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.222778894662895e+00
34, 7.899121974667377e-02, 1.100649128439129e-01, 9.584621119114685e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.168739289013079e+00
35, 8.323278573946329e-02, 1.127095408326435e-01, 9.532528266395990e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.125451325703621e+00
36, 8.751538545103940e-02, 1.152872037720333e-01, 9.465313448735200e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.071543772956559e+00
37, 9.183574183740803e-02, 1.178010664643735e-01, 9.404241537515846e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.022554724210841e+00
38, 9.619439275299976e-02, 1.202479259148333e-01, 9.323997762029228e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.959475309507527e+00
39, 1.005884049420377e-01, 1.226307166973777e-01, 9.267116465940095e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.913852649364459e+00
40, 1.050171342340531e-01, 1.249483326933564e-01, 9.186949848685662e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.851206918456104e+00
41, 1.094800313648288e-01, 1.271994643136105e-01, 9.134371999645298e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.808931158024536e+00
42, 1.139743485043760e-01, 1.293871903461972e-01, 9.065570411109609e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.754549797514918e+00
43, 1.185005287738685e-01, 1.315081990956507e-01, 9.002711465704067e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.704945004869277e+00
44, 1.230564769060798e-01, 1.335645079331484e-01, 8.929713443542062e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.650138729134043e+00
45, 1.276409885268607e-01, 1.355563124314618e-01, 8.872256584146171e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.610006476914250e+00
46, 1.322541513989186e-01, 1.374808270381083e-01, 8.839806626583585e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.582272696285251e+00
47, 1.368934438448860e-01, 1.393414809727533e-01, 8.799386838837618e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.547643821667133e+00
48, 1.415585461789676e-01, 1.411364319822388e-01, 8.726471828822701e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.492194898798630e+00
