"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
60, 1.110832067215114e-01, 1.071234509942218e-01, 9.295475272507298e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.927695231571348e+00
61, 1.138397945713968e-01, 1.082951171956910e-01, 9.267342016792495e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.905742109412761e+00
62, 1.166045454643667e-01, 1.094473904984750e-01, 9.239821544788391e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.884319934095264e+00
63, 1.193772405864387e-01, 1.105804151188351e-01, 9.211993264747377e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.862913505951931e+00
64, 1.221576683610548e-01, 1.116943285414322e-01, 9.185370385699098e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.842298439218710e+00
65, 1.249456251874948e-01, 1.127892624386586e-01, 9.160612574315343e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.823016687365370e+00
66, 1.277409135437126e-01, 1.138653424844624e-01, 9.137656535140667e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.805116653567802e+00
67, 1.305433417138562e-01, 1.149226888027074e-01, 9.113034242497391e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.785993441916134e+00
68, 1.333527238889060e-01, 1.159614165083228e-01, 9.088951199445523e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.767304889170623e+00
69, 1.361688803911903e-01, 1.169816362373436e-01, 9.065396267820081e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.749041546702189e+00
70, 1.389916357867557e-01, 1.179834538790498e-01, 9.041839682286145e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.730731926426993e+00
71, 1.418208193702552e-01, 1.189669711646232e-01, 9.021000373787132e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.714575611647266e+00
72, 1.446562657244281e-01, 1.199322862198497e-01, 9.001670623882596e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.699631095446827e+00
73, 1.474978120861146e-01, 1.208794930046544e-01, 8.980835497161651e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.683518400077253e+00
74, 1.503453010089608e-01, 1.218086825405948e-01, 8.958805698164338e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.666481345203376e+00
75, 1.531985786308991e-01, 1.227199426066749e-01, 8.938753596230421e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.650985742694225e+00
76, 1.560574942738428e-01, 1.236133578908968e-01, 8.918883714035694e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.635618317096886e+00
77, 1.589219005555584e-01, 1.244890099863470e-01, 8.899492464093485e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.620466715206678e+00
78, 1.617916540355675e-01, 1.253469741681999e-01, 8.879935531542938e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.605397053059867e+00
79, 1.646666150428006e-01, 1.261873257892196e-01, 8.861056142670614e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.590842904525918e+00
80, 1.675466443205579e-01, 1.270101384350712e-01, 8.843966639522901e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.577574928005338e+00
81, 1.704316066663402e-01, 1.278154839888637e-01, 8.826356671169292e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.564139972894695e+00
82, 1.733213692706381e-01, 1.286034323146266e-01, 8.807909470488807e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.550025992995812e+00
83, 1.762158014329331e-01, 1.293740513502722e-01, 8.793257339131156e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.538684321604448e+00
84, 1.791147746420473e-01, 1.301274072881349e-01, 8.776378897779662e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.525655656962869e+00
85, 1.820181631464300e-01, 1.308635648592956e-01, 8.762453133809653e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.514942072239713e+00
86, 1.849258431612949e-01, 1.315825830775791e-01, 8.748120961670965e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.503996111225064e+00
87, 1.878376949060841e-01, 1.322845176634984e-01, 8.734542982851652e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.493664587508510e+00
88, 1.907535978468993e-01, 1.329694282821071e-01, 8.721629791107625e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.483763549656683e+00
89, 1.936734335813876e-01, 1.336373735586567e-01, 8.708597028527513e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.473758646356212e+00
90, 1.965970861160553e-01, 1.342884111660043e-01, 8.695292584116602e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.463590503086313e+00
91, 1.995244400096981e-01, 1.349225974912876e-01, 8.682285201861099e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.453675192056122e+00
92, 2.024553820832764e-01, 1.355399876410675e-01, 8.669927517441256e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.444248333390402e+00
93, 2.053898028405280e-01, 1.361406271086831e-01, 8.657985096645417e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.435161496799226e+00
94, 2.083275926719078e-01, 1.367245657007590e-01, 8.646658413518142e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.426560066091458e+00
95, 2.112686427206197e-01, 1.372918560891137e-01, 8.635687560449652e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.418254893395665e+00
96, 2.142128456644310e-01, 1.378425502843920e-01, 8.626354095479306e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.411191454591362e+00
97, 2.171600947731698e-01, 1.383766995064003e-01, 8.617857071828410e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.404794002153023e+00
98, 2.201102862229847e-01, 1.388943527238311e-01, 8.609067894469261e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.398235451732684e+00
99, 2.230633181752657e-01, 1.393955480984756e-01, 8.600959324230438e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.392153209038265e+00
100, 2.260190887415805e-01, 1.398803330672435e-01, 8.591659682818715e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.385199833523188e+00
101, 2.289774958840249e-01, 1.403487565482170e-01, 8.583341705219097e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.378995809648317e+00
102, 2.319384401127229e-01, 1.408008672444357e-01, 8.576215731079078e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.373707075121859e+00
103, 2.349018222849036e-01, 1.412367127564770e-01, 8.568226188396363e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.367768361401804e+00
104, 2.378675463355546e-01, 1.416563287199044e-01, 8.560314852896005e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.361928460712177e+00
105, 2.408355152358141e-01, 1.420597575091137e-01, 8.553450364273363e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.356901909137100e+00
106, 2.438056335895893e-01, 1.424470464652499e-01, 8.547671619611739e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.352691496913259e+00
