"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.659955787,      -16.39097955,      -16.60717866,      -2.638766488,               0.5,       3.454055761,     0.02078930522,                 0,                 0,                 0,     -0.1139955778,       3.454055761,     0.02078930522,                 0,    0.006018809961,    0.001782221608
          0,           0,           1,      -3.780264096,      -3.000560945,      -3.959056199,      -2.754901457,               0.5,       3.371226895,     0.02165782173,                 0,                 0,                 0,     -0.1074274603,       3.371226895,     0.02165782173,                 0,    0.006424314472,    0.001782221608
          0,           0,           2,      -3.788871657,      -3.024369782,      -3.966752482,      -2.765245712,               0.5,       3.293243985,     0.02242345662,                 0,                 0,                 0,     -0.1011799297,       3.293243985,     0.02242345662,                 0,    0.006808926613,    0.001782221608
          0,           0,           3,      -3.797026348,      -3.048240161,      -3.974503572,      -2.774695097,               0.5,       3.219807604,     0.02309882974,                 0,                 0,                 0,    -0.09523485727,       3.219807604,     0.02309882974,                 0,    0.007173978256,    0.001782221608
          0,           0,           4,      -3.804917949,      -3.071428901,      -3.983252507,      -2.783561679,               0.5,        3.15053925,     0.02368589022,                 0,                 0,                 0,    -0.08956580144,        3.15053925,     0.02368589022,                 0,    0.007518043212,    0.001782221608
          0,           0,           5,      -3.812653182,      -3.093925741,      -3.992299521,      -2.791982134,               0.5,        3.08510992,     0.02419591988,                 0,                 0,                 0,    -0.08414488391,        3.08510992,     0.02419591988,                 0,    0.007842806419,    0.001782221608
          0,           0,           6,      -3.820298307,      -3.115764094,      -4.001111777,      -2.800073104,               0.5,       3.023230639,     0.02464258382,                 0,                 0,                 0,    -0.07894715882,       3.023230639,     0.02464258382,                 0,    0.008151076367,    0.001782221608
          0,           0,           7,       -3.82780395,      -3.136935197,      -4.009072085,      -2.807844059,               0.5,        2.96464604,     0.02503865918,                 0,                 0,                 0,    -0.07395081498,        2.96464604,     0.02503865918,                 0,    0.008445749963,    0.001782221608
          0,           0,           8,      -3.835157649,      -3.157460092,        -4.0157925,      -2.815337409,               0.5,       2.909126069,     0.02539449216,                 0,                 0,                 0,    -0.06913705506,       2.909126069,     0.02539449216,                 0,    0.008729251176,    0.001782221608
          0,           0,           9,      -3.842309046,      -3.177317078,      -4.021110092,      -2.822544027,               0.5,       2.856463328,     0.02571864974,                 0,                 0,                 0,    -0.06448945208,       2.856463328,     0.02571864974,                 0,    0.009003668799,    0.001782221608
          0,           0,          10,      -3.849123679,      -3.196412701,       -4.02456859,      -2.829361121,               0.5,       2.806469043,     0.02601478743,                 0,                 0,                 0,    -0.05999363733,       2.806469043,     0.02601478743,                 0,    0.009269579332,    0.001782221608
          0,           0,          11,      -3.855685347,      -3.214809375,      -4.026199387,      -2.835888341,               0.5,        2.75897188,     0.02628543464,                 0,                 0,                 0,    -0.05563737956,        2.75897188,     0.02628543464,                 0,    0.009527257176,    0.001782221608
          0,           0,          12,      -3.862015462,      -3.232553529,      -4.026426537,      -2.842161263,               0.5,       2.713814355,     0.02653211594,                 0,                 0,                 0,    -0.05141048189,       2.713814355,     0.02653211594,                 0,    0.009776687891,    0.001782221608
          0,           0,          13,       -3.86809944,      -3.249632705,      -4.025381165,      -2.848170132,               0.5,       2.670848366,     0.02675592426,                 0,                 0,                 0,    -0.04730400086,       2.670848366,     0.02675592426,                 0,     0.01001776237,    0.001782221608
          0,           0,          14,      -3.873963865,      -3.266065961,      -4.023333453,      -2.853946473,               0.5,       2.629936765,      0.0269584316,                 0,                 0,                 0,     -0.0433099145,       2.629936765,      0.0269584316,                 0,     0.01025060068,    0.001782221608
          0,           0,          15,      -3.879617779,      -3.281862336,      -4.020465585,      -2.859498276,               0.5,       2.590953043,     0.02713915204,                 0,                 0,                 0,    -0.03942097496,       2.590953043,     0.02713915204,                 0,     0.01047458275,    0.001782221608
          0,           0,          16,      -3.885084419,      -3.297045236,      -4.016974193,      -2.864850959,               0.5,       2.553779727,       0.027298276,                 0,                 0,                 0,    -0.03563053961,       2.553779727,       0.027298276,                 0,     0.01068936201,    0.001782221608
          0,           0,          17,      -3.890350859,      -3.311607583,      -4.013010878,      -2.869988119,               0.5,       2.518307835,     0.02743639382,                 0,                 0,                 0,     -0.0319327279,       2.518307835,     0.02743639382,                 0,     0.01089477364,    0.001782221608
          0,           0,          18,      -3.895414078,      -3.325557968,      -4.008720359,       -2.87491549,               0.5,       2.484431098,      0.0275547322,                 0,                 0,                 0,    -0.02832291724,       2.484431098,      0.0275547322,                 0,     0.01109096252,    0.001782221608
